top;mat_file;file_found;Meas. Rotor azimuth [deg] Fourier DC;Meas. Rotor azimuth [deg] Mean;Meas. Rotor azimuth [deg] Median;Meas. Rotor speed [rpm] Fourier DC;Meas. Rotor speed [rpm] Mean;Meas. Rotor speed [rpm] Median;Meas. Generator torque [Nm] Fourier DC;Meas. Generator torque [Nm] Mean;Meas. Generator torque [Nm] Median;Meas. Aerodynamic torque [Nm] Fourier DC;Meas. Aerodynamic torque [Nm] Mean;Meas. Aerodynamic torque [Nm] Median;Meas. Tower fore-aft moment [Nm] Fourier DC;Meas. Tower fore-aft moment [Nm] Mean;Meas. Tower fore-aft moment [Nm] Median;Meas. Tower side-side moment [Nm] Fourier DC;Meas. Tower side-side moment [Nm] Mean;Meas. Tower side-side moment [Nm] Median;Meas. Shaft bending moment [Nm] Fourier DC;Meas. Shaft bending moment [Nm] Mean;Meas. Shaft bending moment [Nm] Median;Meas. Demanded pitch B1 [deg] Fourier DC;Meas. Demanded pitch B1 [deg] Mean;Meas. Demanded pitch B1 [deg] Median;Meas. Actual pitch B1 [deg] Fourier DC;Meas. Actual pitch B1 [deg] Mean;Meas. Actual pitch B1 [deg] Median;Meas. Demanded pitch B2 [deg] Fourier DC;Meas. Demanded pitch B2 [deg] Mean;Meas. Demanded pitch B2 [deg] Median;Meas. Actual pitch B2 [deg] Fourier DC;Meas. Actual pitch B2 [deg] Mean;Meas. Actual pitch B2 [deg] Median;Meas. Demanded pitch B3 [deg] Fourier DC;Meas. Demanded pitch B3 [deg] Mean;Meas. Demanded pitch B3 [deg] Median;Meas. Actual pitch B3 [deg] Fourier DC;Meas. Actual pitch B3 [deg] Mean;Meas. Actual pitch B3 [deg] Median;Meas. Demanded yaw [deg] Fourier DC;Meas. Demanded yaw [deg] Mean;Meas. Demanded yaw [deg] Median;Meas. Actual yaw [deg] Fourier DC;Meas. Actual yaw [deg] Mean;Meas. Actual yaw [deg] Median
1;Results_File_5_TOP_1.mat;1;179,8243429;179,8243429;179,7903728;709,0152663;709,0152663;708,974758;0,6195465314;0,6195465314;0,6195814984;0,06569673288;0,06569673288;0,06574266301;-4,148842769;-4,148842769;-4,135772067;1,444106705;1,444106705;1,43430166;0,9132006268;0,9132006268;0,9390903274;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;-30;-30;-30;-28,79999924;-28,79999924;-28,79999924
2;Results_File_5_TOP_2.mat;1;180,039732;180,039732;179,8670814;709,0590695;709,0590695;709,0690333;0,6195078819;0,6195078819;0,6194991211;0,15149562;0,15149562;0,1514631996;-5,916006805;-5,916006805;-5,879096022;0,09399367262;0,09399367262;0,1198376573;1,606498492;1,606498492;1,600620113;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;0;0;0;1,117983827;1,117983827;1,115999937
3;Results_File_5_TOP_3.mat;1;179,7208656;179,7208656;179,8702899;708,976269;708,976269;708,914963;0,6195831893;0,6195831893;0,6196337584;0,0718648799;0,0718648799;0,07182790617;-4,386881627;-4,386881627;-4,289307438;-1,502764945;-1,502764945;-1,463693409;1,796148889;1,796148889;1,760913714;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;30;30;30;30,76733451;30,76733451;30,76199913
4;Results_File_5_TOP_4.mat;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;Results_File_5_TOP_5.mat;1;180,0809947;180,0809947;180,1132569;749,0255386;749,0255386;749,0176762;0,5864522229;0,5864522229;0,5864583132;0,04281628803;0,04281628803;0,04275846812;-4,1734796;-4,1734796;-4,146267247;1,476000445;1,476000445;1,488573742;1,380676633;1,380676633;1,366267335;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;-30;-30;-30;-29,48942583;-29,48942583;-29,49299812
6;Results_File_5_TOP_6.mat;1;180,2425068;180,2425068;180,1405126;748,9617136;748,9617136;748,9645386;0,5865022104;0,5865022104;0,5864999213;0,1260305147;0,1260305147;0,126056301;-5,938258475;-5,938258475;-5,891723691;0,1407321053;0,1407321053;0,1653160491;1,351002636;1,351002636;1,336721647;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;0;0;0;0,2907982379;0,2907982379;0,2879999876
7;Results_File_5_TOP_7.mat;1;180,0066973;180,0066973;180,0184172;749,0145674;749,0145674;749,018162;0,5864608103;0,5864608103;0,5864579328;0,05025398767;0,05025398767;0,05036917201;-4,367577579;-4,367577579;-4,291061307;-1,497167239;-1,497167239;-1,477234068;1,331086573;1,331086573;1,298519761;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;30;30;30;30,51922099;30,51922099;30,5189991
8;Results_File_5_TOP_8.mat;1;180,2649001;180,2649001;180,1510881;783,0118713;783,0118713;783,0018332;0,5609974669;0,5609974669;0,5610046162;0,0243720263;0,0243720263;0,02449706304;-4,162680727;-4,162680727;-4,114043426;1,446978373;1,446978373;1,462935475;1,363266596;1,363266596;1,340941297;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;-30;-30;-30;-29,82593538;-29,82593538;-29,82599831
9;Results_File_5_TOP_9.mat;1;180,3774994;180,3774994;180,5433366;783,0118134;783,0118134;783,0022527;0,5609975;0,5609975;0,5610043156;0,1050910017;0,1050910017;0,1050552599;-5,941841764;-5,941841764;-5,87572012;0,1200776403;0,1200776403;0,1349087684;1,268366028;1,268366028;1,260942345;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;0;0;0;0,2802194605;0,2802194605;0,2789999843
10;Results_File_5_TOP_10.mat;1;180,0152687;180,0152687;179,8762661;782,979345;782,979345;782,9823127;0,561020767;0,561020767;0,5610186026;0,0324187257;0,0324187257;0,03243212971;-4,361641888;-4,361641888;-4,281173849;-1,515777633;-1,515777633;-1,490252522;1,468893918;1,468893918;1,451292982;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;30;30;30;30,51434096;30,51434096;30,51108705
11;Results_File_5_TOP_11.mat;1;180,2879713;180,2879713;180,3854066;708,9849332;708,9849332;708,9588621;0,6195726763;0,6195726763;0,6195953904;0,1698411449;0,1698411449;0,1698146724;-5,616169841;-5,616169841;-5,596739583;2,315938799;2,315938799;2,308382242;1,565841861;1,565841861;1,542803804;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;-30;-30;-30;-28,80438156;-28,80438156;-28,80057981
12;Results_File_5_TOP_12.mat;1;179,6078666;179,6078666;179,6816407;708,9794467;708,9794467;708,943313;0,6195774619;0,6195774619;0,6196089798;0,2781387962;0,2781387962;0,2781871217;-7,555086911;-7,555086911;-7,523574771;0,227506236;0,227506236;0,2477085706;1,194678222;1,194678222;1,171135788;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;0;0;0;1,070676083;1,070676083;1,07099998
13;Results_File_5_TOP_13.mat;1;179,7986511;179,7986511;179,8435276;708,9877468;708,9877468;708,9645895;0,6195702031;0,6195702031;0,619590385;0,174810188;0,174810188;0,1747093764;-5,798715314;-5,798715314;-5,796927253;-2,080092929;-2,080092929;-2,086879956;1,107445603;1,107445603;1,097794005;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;30;30;30;30,46888468;30,46888468;30,46549725
14;Results_File_5_TOP_14.mat;1;180,2909004;180,2909004;180,1582658;751,9858905;751,9858905;751,9590246;0,5841436307;0,5841436307;0,5841643342;0,1355078855;0,1355078855;0,1354842071;-5,512953753;-5,512953753;-5,492709621;2,301410984;2,301410984;2,314258564;1,333146873;1,333146873;1,333504838;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;-30;-30;-30;-29,79358965;-29,79358965;-29,78999901
15;Results_File_5_TOP_15.mat;1;180,2520371;180,2520371;180,2576312;752,036883;752,036883;752,0313089;0,5841040063;0,5841040063;0,584108185;0,2482162018;0,2482162018;0,2481532304;-7,675284834;-7,675284834;-7,651629536;0,2419512452;0,2419512452;0,2684463243;1,294130869;1,294130869;1,305470104;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;0;0;0;0,5479829478;0,5479829478;0,5489999652
16;Results_File_5_TOP_16.mat;1;179,7591066;179,7591066;179,5703448;752,0209968;752,0209968;751,9976439;0,5841163614;0,5841163614;0,584134334;0,1456583635;0,1456583635;0,1456158443;-5,817885206;-5,817885206;-5,810794264;-2,117552172;-2,117552172;-2,083964147;1,804744776;1,804744776;1,790830394;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;30;30;30;30,46029064;30,46029064;30,46385512
17;Results_File_5_TOP_17.mat;1;179,7458105;179,7458105;179,7824319;797,9845368;797,9845368;797,9804283;0,5504714222;0,5504714222;0,5504742063;0,108759193;0,108759193;0,1087270702;-5,554925294;-5,554925294;-5,516713481;2,27440197;2,27440197;2,293613472;1,091539905;1,091539905;1,094032342;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;-30;-30;-30;-29,69394129;-29,69394129;-29,69099808
18;Results_File_5_TOP_18.mat;1;179,945811;179,945811;179,9022011;797,9805344;797,9805344;797,9871512;0,5504741845;0,5504741845;0,5504695687;0,2180802865;0,2180802865;0,2180731155;-7,741343203;-7,741343203;-7,678113915;0,2429351348;0,2429351348;0,2380346887;0,9881837513;0,9881837513;1,004572785;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;0;0;0;0,3213272334;0,3213272334;0,324000001
19;Results_File_5_TOP_19.mat;1;179,9887766;179,9887766;179,8238126;798,0038413;798,0038413;798,0028263;0,5504581008;0,5504581008;0,5504587559;0,1200103999;0,1200103999;0,1200450309;-5,814649117;-5,814649117;-5,775471062;-2,154453871;-2,154453871;-2,145806758;1,027154302;1,027154302;1,002274652;0,3993149996;0,3993149996;0,3993149996;0,400000006;0,400000006;0,400000006;0,3991750181;0,3991750181;0,3991750181;0,400000006;0,400000006;0,400000006;0,3936800063;0,3936800063;0,3936800063;0,400000006;0,400000006;0,400000006;30;30;30;30,46470022;30,46470022;30,46499825
