yaw_group;source;variable;shape
yaw_minus_30;measured;air_density;(10, 2000)
yaw_minus_30;measured;azimuth_deg;(10, 2000)
yaw_minus_30;measured;hub_nodding_moment_raw;(10, 2000)
yaw_minus_30;measured;hub_torque_nm;(10, 2000)
yaw_minus_30;measured;hub_torque_raw;(10, 2000)
yaw_minus_30;measured;hub_yawing_moment_raw;(10, 2000)
yaw_minus_30;measured;omega_rad_s;(10, 2000)
yaw_minus_30;measured;pitch_blade1;(10, 2000)
yaw_minus_30;measured;pitch_blade1_dem;(10, 2000)
yaw_minus_30;measured;pitch_blade2;(10, 2000)
yaw_minus_30;measured;pitch_blade2_dem;(10, 2000)
yaw_minus_30;measured;pitch_blade3;(10, 2000)
yaw_minus_30;measured;pitch_blade3_dem;(10, 2000)
yaw_minus_30;measured;pitot_velocity;(10, 2000)
yaw_minus_30;measured;rotor_speed_rpm;(10, 2000)
yaw_minus_30;measured;shaft_bending_moment_nm;(10, 2000)
yaw_minus_30;measured;tower_fa_moment;(10, 2000)
yaw_minus_30;measured;tower_ss_moment;(10, 2000)
yaw_minus_30;measured;yaw_actual;(10, 2000)
yaw_minus_30;measured;yaw_dem;(10, 2000)
yaw_minus_30;derived;axial_induction;(10, 2000)
yaw_minus_30;derived;blockage_factor;(10, 2000)
yaw_minus_30;derived;cp;(10, 2000)
yaw_minus_30;derived;ct;(10, 2000)
yaw_minus_30;derived;ct_for_blockage;(10, 2000)
yaw_minus_30;derived;nacelle_drag;(10, 2000)
yaw_minus_30;derived;nacelle_drag_moment;(10, 2000)
yaw_minus_30;derived;power_w;(10, 2000)
yaw_minus_30;derived;rotor_thrust_drag_corrected;(10, 2000)
yaw_minus_30;derived;thrust_raw_from_tower_fa;(10, 2000)
yaw_minus_30;derived;tower_drag;(10, 2000)
yaw_minus_30;derived;tower_drag_moment;(10, 2000)
yaw_minus_30;derived;tower_velocity;(10, 2000)
yaw_minus_30;derived;tsr;(10, 2000)
yaw_minus_30;derived;u_blockage_corrected;(10, 2000)
yaw_0;measured;air_density;(10, 2000)
yaw_0;measured;azimuth_deg;(10, 2000)
yaw_0;measured;hub_nodding_moment_raw;(10, 2000)
yaw_0;measured;hub_torque_nm;(10, 2000)
yaw_0;measured;hub_torque_raw;(10, 2000)
yaw_0;measured;hub_yawing_moment_raw;(10, 2000)
yaw_0;measured;omega_rad_s;(10, 2000)
yaw_0;measured;pitch_blade1;(10, 2000)
yaw_0;measured;pitch_blade1_dem;(10, 2000)
yaw_0;measured;pitch_blade2;(10, 2000)
yaw_0;measured;pitch_blade2_dem;(10, 2000)
yaw_0;measured;pitch_blade3;(10, 2000)
yaw_0;measured;pitch_blade3_dem;(10, 2000)
yaw_0;measured;pitot_velocity;(10, 2000)
yaw_0;measured;rotor_speed_rpm;(10, 2000)
yaw_0;measured;shaft_bending_moment_nm;(10, 2000)
yaw_0;measured;tower_fa_moment;(10, 2000)
yaw_0;measured;tower_ss_moment;(10, 2000)
yaw_0;measured;yaw_actual;(10, 2000)
yaw_0;measured;yaw_dem;(10, 2000)
yaw_0;derived;axial_induction;(10, 2000)
yaw_0;derived;blockage_factor;(10, 2000)
yaw_0;derived;cp;(10, 2000)
yaw_0;derived;ct;(10, 2000)
yaw_0;derived;ct_for_blockage;(10, 2000)
yaw_0;derived;nacelle_drag;(10, 2000)
yaw_0;derived;nacelle_drag_moment;(10, 2000)
yaw_0;derived;power_w;(10, 2000)
yaw_0;derived;rotor_thrust_drag_corrected;(10, 2000)
yaw_0;derived;thrust_raw_from_tower_fa;(10, 2000)
yaw_0;derived;tower_drag;(10, 2000)
yaw_0;derived;tower_drag_moment;(10, 2000)
yaw_0;derived;tower_velocity;(10, 2000)
yaw_0;derived;tsr;(10, 2000)
yaw_0;derived;u_blockage_corrected;(10, 2000)
yaw_plus_30;measured;air_density;(10, 2000)
yaw_plus_30;measured;azimuth_deg;(10, 2000)
yaw_plus_30;measured;hub_nodding_moment_raw;(10, 2000)
yaw_plus_30;measured;hub_torque_nm;(10, 2000)
yaw_plus_30;measured;hub_torque_raw;(10, 2000)
yaw_plus_30;measured;hub_yawing_moment_raw;(10, 2000)
yaw_plus_30;measured;omega_rad_s;(10, 2000)
yaw_plus_30;measured;pitch_blade1;(10, 2000)
yaw_plus_30;measured;pitch_blade1_dem;(10, 2000)
yaw_plus_30;measured;pitch_blade2;(10, 2000)
yaw_plus_30;measured;pitch_blade2_dem;(10, 2000)
yaw_plus_30;measured;pitch_blade3;(10, 2000)
yaw_plus_30;measured;pitch_blade3_dem;(10, 2000)
yaw_plus_30;measured;pitot_velocity;(10, 2000)
yaw_plus_30;measured;rotor_speed_rpm;(10, 2000)
yaw_plus_30;measured;shaft_bending_moment_nm;(10, 2000)
yaw_plus_30;measured;tower_fa_moment;(10, 2000)
yaw_plus_30;measured;tower_ss_moment;(10, 2000)
yaw_plus_30;measured;yaw_actual;(10, 2000)
yaw_plus_30;measured;yaw_dem;(10, 2000)
yaw_plus_30;derived;axial_induction;(10, 2000)
yaw_plus_30;derived;blockage_factor;(10, 2000)
yaw_plus_30;derived;cp;(10, 2000)
yaw_plus_30;derived;ct;(10, 2000)
yaw_plus_30;derived;ct_for_blockage;(10, 2000)
yaw_plus_30;derived;nacelle_drag;(10, 2000)
yaw_plus_30;derived;nacelle_drag_moment;(10, 2000)
yaw_plus_30;derived;power_w;(10, 2000)
yaw_plus_30;derived;rotor_thrust_drag_corrected;(10, 2000)
yaw_plus_30;derived;thrust_raw_from_tower_fa;(10, 2000)
yaw_plus_30;derived;tower_drag;(10, 2000)
yaw_plus_30;derived;tower_drag_moment;(10, 2000)
yaw_plus_30;derived;tower_velocity;(10, 2000)
yaw_plus_30;derived;tsr;(10, 2000)
yaw_plus_30;derived;u_blockage_corrected;(10, 2000)
