test;yaw_target;yaw_mean;tsr_expected;tsr_mean;tip_speed_mean;pitot_velocity_mean;free_air_velocity_mean;cp_mean;cp_std;cp_min;cp_max;ct_mean;ct_std;ct_min;ct_max;rotor_thrust_mean;nacelle_drag_mean;tower_drag_force_mean;tower_drag_moment_mean;mat_file
1;-30;-28.799999237060547;8.2;9.398240722179814;40.36114517032758;3.994013035797279;4.294542602540008;0.1242679603604653;0.02980288040866392;0.02766220255334922;0.18131182676335836;0.2994110530736373;0.20264632923225462;0.0;0.5738114646352602;3.182216328824785;0.18449030997691798;0.2889084825717646;0.10400705372583526;Results_File_5_TOP_1.mat
2;0;1.11798585166899;8.2;8.920618977965102;40.363653807525964;4.006242652108852;4.524759314037353;0.2452401296804713;0.05980339833151773;0.0867829482962386;0.3163211156629333;0.4902050828877627;0.06115666416535772;0.37945265525067934;0.573811486245297;5.3323705623740025;0.204823126354526;0.24203949333983507;0.08713421760234062;Results_File_5_TOP_2.mat
3;30;30.7673486837663;8.2;9.010996733947362;40.358942350921104;4.044151594469288;4.4788543978576545;0.12018311821923887;0.03832263608116253;0.025688645803178485;0.26959315821634355;0.42452151059896553;0.10847162065661409;0.23256845563824;0.5738114773119121;4.633864453288595;0.20096470441016007;0.2636410405007713;0.09491077458027765;Results_File_5_TOP_3.mat
4;-30;-29.489425621107795;8.5;9.429239614021272;42.63875965837019;4.0377971258657475;4.521972227216115;0.07443872159236571;0.021249090445541324;0.020427906239115536;0.11730920152783207;0.43481807227465274;0.10708018313694996;0.23738266530466579;0.5738114892314568;4.83047106166718;0.205108196360829;0.26465568112753285;0.0952760452059118;Results_File_5_TOP_5.mat
5;0;0.2907982378839815;8.5;8.979136824694361;42.63511994739024;4.011798994771433;4.748242596118529;0.18625257791257457;0.04701127195745483;0.07455449133299046;0.25134737303393295;0.5338518133940338;0.04495402115004084;0.3865930886616579;0.5738114839798447;6.2795610310659695;0.22538277424218672;0.248317182643944;0.08939418575181984;Results_File_5_TOP_6.mat
6;30;30.5192331376118;8.5;9.144205116274259;42.638147729192674;4.037054987929711;4.6628599410251725;0.07929194707417724;0.023001898787689535;0.028583445807319058;0.122890377025154;0.4958107786799104;0.055972638037009026;0.3866208179815515;0.5738114916497364;5.721344541944376;0.21776323755420635;0.25504497692232997;0.09181619169203878;Results_File_5_TOP_7.mat
7;-30;-29.825935378812492;8.8;9.618799491307133;44.573466983494164;4.050246456414642;4.63399481648171;0.04119584935577207;0.013619289829011833;0.009949083459509154;0.07768454533037945;0.4718531506708197;0.07745320368975053;0.3143730969663498;0.5738114925549497;5.436194662273285;0.2152236270048179;0.26162521575974507;0.09418507767350824;Results_File_5_TOP_8.mat
8;0;0.28022133854798653;8.8;9.145868832467555;44.57346398063388;4.013182917910464;4.873617236057382;0.14958751807808873;0.037244554977383826;0.06208751864913808;0.20996179035224527;0.5372907310996816;0.05125662488085922;0.38659218410027674;0.5738114924869862;6.628818086954806;0.23719688449376838;0.26045724347894506;0.09376460765242021;Results_File_5_TOP_9.mat
9;30;30.51433530524911;8.8;9.697919063112083;44.57161180062019;4.045657331504312;4.595997503233138;0.054448760884874;0.01412973804680291;0.021527255189131782;0.08743643084890063;0.5108494862202415;0.046804977219291145;0.41425297381668624;0.5738114898308379;5.72754600650294;0.21048671132018681;0.23788865513161267;0.08563991584738057;Results_File_5_TOP_10.mat
10;-30;-28.80437953541817;7.6;8.013717096934794;40.35942976497501;4.58480833234728;5.036293305189459;0.1993642873884886;0.04856636569226066;0.0653576121933923;0.2549406877516862;0.395346900338467;0.13434163932885113;0.17285097931264887;0.5738114906327488;5.52421350647975;0.25400150500291313;0.34776482577219087;0.1251953372779887;Results_File_5_TOP_11.mat
11;0;1.0706760831763968;7.6;7.525761146462541;40.3591221525197;4.5452620315936665;5.362796050402207;0.27033198235735534;0.06884937512440358;0.11051296775929921;0.3572532270417368;0.5310832926533459;0.044650988176585416;0.38659209244969145;0.5738114925341566;7.977285015401945;0.2876137201088379;0.31846253575866423;0.11464651287311912;Results_File_5_TOP_12.mat
12;30;30.46889480659265;7.6;7.430349546333722;40.35959429062198;4.577122771888791;5.431722160438089;0.17115988981910263;0.05842179377649459;0.06702296608945552;0.24282174988594096;0.47669326031347153;0.06232098346961928;0.3865919843732471;0.5738114892748087;7.451038260809389;0.29767988161445164;0.3648561567281065;0.1313482164221183;Results_File_5_TOP_13.mat
13;-30;-29.793589652897847;7.9;8.026498352105985;42.80730361437867;4.584656690617627;5.333247667477179;0.1461201172475498;0.04567133515508239;0.05516082743180916;0.20574155070432076;0.473846043284471;0.07227742544587377;0.337016909432938;0.5738114925519981;7.1935135568015305;0.28605264991065904;0.3491142194685815;0.12568111900868933;Results_File_5_TOP_14.mat
14;0;0.5479829478026143;7.9;7.5394587027184325;42.81020559574935;4.546606525223618;5.678153735401943;0.21348057946920518;0.05196267852579475;0.10284779714621596;0.28823568114164444;0.5295171693649807;0.05623031075571427;0.38659200397733134;0.5738114925888959;8.847273510475313;0.3216720900638279;0.35944455818501997;0.12940004094660718;Results_File_5_TOP_15.mat
15;30;30.46029670980645;7.9;8.248964870642238;42.80927590350628;4.579447056487756;5.189654286910946;0.15986749570082365;0.02791826118414524;0.09917822219823227;0.20485106997449576;0.5394988437948848;0.026674769992646525;0.4830296687184492;0.5738114925122754;7.671179045684637;0.26728952707445314;0.2846779369879316;0.1024840573156554;Results_File_5_TOP_16.mat
16;-30;-29.69394331394001;8.2;8.795030966423043;45.425791710911916;4.584920796068409;5.164938234366067;0.12993550319052583;0.02757707970878851;0.0715410001777027;0.17761159112879313;0.5152860370759375;0.04819042808023376;0.410206725212645;0.5738114925886404;7.300925825925771;0.265279880067549;0.2962104100279322;0.10663574761005556;Results_File_5_TOP_17.mat
17;0;0.32132520842940737;8.2;7.742370822269173;45.42557273832506;4.545651327295549;5.867139895659442;0.17882988562303226;0.03978272801000832;0.0963766248619636;0.2434332853483104;0.5138776984240775;0.05538522719399245;0.38659236522823776;0.5727000411798353;9.17034830404495;0.34272982119871676;0.3941836871909015;0.14190612738872452;Results_File_5_TOP_18.mat
