test;yaw_target;yaw_median;requested_tunnel_speed;pitot_velocity_median;excel_equivalent_free_air_speed;free_air_velocity_median;rotor_speed_rpm_median;tip_speed_median;tsr_expected;tsr_median;cp_median;cp_std;cp_min;cp_max;ct_median;ct_std;ct_min;ct_max;rotor_thrust_median;nacelle_drag_median;tower_drag_force_median;tower_drag_moment_median;mat_file
1;-30;-28.799999237060547;4.0;3.993921052544348;4.921333131788917;4.094294931686648;708.9715798442965;40.358674311991365;8.2;9.857295330545613;0.13244693803307364;0.029605376894132514;0.02966872331692541;0.18042498593738546;0.3154494903929966;0.2027735476391403;0.0;0.5738114861001232;2.773609348681395;0.16574664344082352;0.2890028565097769;0.10404102834351969;Results_File_5_TOP_1.mat
2;0;1.1159999370574951;4.0;4.006361961364746;4.921333131788917;4.298969086166453;709.0700212464993;40.36427815367314;8.2;9.389292489578573;0.2702195796917683;0.05995159807281426;0.08814189433372299;0.31757597034398716;0.4931363756289635;0.06076107696523724;0.3829255049002047;0.5738114466799216;5.120584610850965;0.1827322235566261;0.22144444798135754;0.07972000127328871;Results_File_5_TOP_2.mat
3;30;30.7630290831289;4.0;4.044339372998767;4.921333131788917;4.191515016186549;708.9849912832073;40.359437766987945;8.2;9.628842461766263;0.12635837825491836;0.03933865038003657;0.025147494251575343;0.27740735032605174;0.43237989535431365;0.10642029888780655;0.24004466799248775;0.5738114925659739;4.201573834819303;0.17371149078701975;0.24622542017630145;0.08864115126346851;Results_File_5_TOP_3.mat
4;-30;-29.492998123168945;4.0;4.038143319300105;5.01343028955351;4.227635298426227;749.0171091853642;42.63829245505205;8.5;10.085612746900026;0.0828898962851283;0.021543403957943724;0.020864922804056465;0.12186069606709223;0.44915003617114785;0.10563909648743453;0.243186738886596;0.5738114822659894;4.5631327749791515;0.17671830014568438;0.2437537642542863;0.08775135513154307;Results_File_5_TOP_5.mat
5;0;0.2879999876022339;4.0;4.011799836957886;5.01343028955351;4.524246602592214;748.9644487210662;42.6352947234248;8.5;9.423733599975842;0.20351576388677828;0.047268475458918234;0.07674495551788547;0.2527482644866733;0.5472575207912527;0.04506730446545594;0.3865936631885445;0.5738114922020028;6.151011888094876;0.20238533159346384;0.2005958592866382;0.07221450934318975;Results_File_5_TOP_6.mat
6;30;30.518999099731445;4.0;4.0374950783868;5.01343028955351;4.400062440371247;749.0185844415905;42.63837643498475;8.5;9.690402582420447;0.08648596863884536;0.025065142457255826;0.027071559370493575;0.12582765314260164;0.4937166513118487;0.057618812627230356;0.38659197533566875;0.5738114925429156;5.680138978256258;0.1914274322829307;0.22292376996951913;0.08025255718902688;Results_File_5_TOP_7.mat
7;-30;-29.825998306274414;4.0;4.050353009452022;5.062106647046976;4.346741067833028;783.0030667435163;44.57296548182113;8.8;10.25434107673729;0.04377927457141579;0.014838779907095772;0.008776306010583474;0.07966274178661775;0.47130247168761197;0.07585217646275838;0.32188696667134764;0.5738114925744073;5.411222288093288;0.18681598555467427;0.23534543033407723;0.08472435492026781;Results_File_5_TOP_8.mat
8;0;0.2789999842643738;4.0;4.013526491463304;5.062106647046976;4.667899010525744;783.0034039141452;44.57298467548134;8.8;9.548832263717097;0.16139955652808996;0.037282075483439495;0.06421921656136324;0.21055959369688268;0.5645473754025061;0.05164232540138396;0.386592066925783;0.5738114921681159;6.525851586197861;0.21544151668365596;0.21446624863253547;0.07720784950771276;Results_File_5_TOP_9.mat
9;30;30.5125023934149;4.0;4.045490323127278;5.062106647046976;4.394576927429933;782.9828122924825;44.571812483850714;8.8;10.142458129619662;0.0567614127299226;0.015652813815283703;0.019064126964153803;0.08999229236301332;0.5094178344512972;0.046004415793542947;0.42146551806817517;0.5738114909836333;5.654733775493906;0.19095042843872168;0.21675783215489508;0.07803281957576223;Results_File_5_TOP_10.mat
10;-30;-28.80336655647524;4.5;4.584815375362672;5.312931013957924;4.686461282777916;708.9583514020485;40.35792127420041;7.6;8.611598141759982;0.23306770180383188;0.05055081739613625;0.0677358617886897;0.269546144217024;0.41265326779514966;0.13150989247100484;0.1811672105330143;0.5738114921120355;4.934481604860706;0.2171583642059651;0.32437328717528907;0.11677438338310406;Results_File_5_TOP_11.mat
11;0;1.0709999799728394;4.5;4.545207172596166;5.312931013957924;5.083459536964519;708.9430395385746;40.357049636283435;7.6;7.93889463323668;0.2998059730603335;0.0699490753898945;0.1141083864858904;0.35917146807085665;0.5450923226922182;0.04513681421697003;0.3865920429086007;0.5738114925379596;7.762427091573098;0.255508431983581;0.25440225479988476;0.09158481172795853;Results_File_5_TOP_12.mat
12;30;30.468003343766732;4.5;4.576993928609358;5.312931013957924;4.873812080783948;708.9644442981754;40.35826811632694;7.6;8.280636891079181;0.2141131885166509;0.05561374419273805;0.07084060193455394;0.2532712743348481;0.4806632453931384;0.058259437579435226;0.38659198847475434;0.5738114922216181;6.744298536762375;0.2348681110244951;0.28440762443487455;0.10238674479655484;Results_File_5_TOP_13.mat
13;-30;-29.78999900817871;4.5;4.58447265625;5.418230401732103;4.876589158201683;751.9555664316989;42.805566069899314;7.9;8.77776755048287;0.17551825518365508;0.04592908354092091;0.056891711336218426;0.21618740890416238;0.4825668644109994;0.07005793233545413;0.3510014212020906;0.5738114861981322;6.762501982366464;0.23513584099016124;0.2903861965468125;0.10453903075685249;Results_File_5_TOP_14.mat
14;0;0.5489999651908875;4.5;4.546511865431262;5.418230401732103;5.4661227450293355;752.0319288930621;42.80991305332634;7.9;7.831860909500412;0.22784135142944012;0.051323124296170135;0.10765388680203247;0.28949057614485135;0.5544244649949605;0.05675791740183156;0.38659222316498315;0.5738114914620526;8.688771186260073;0.295423646380973;0.3054500096880906;0.10996200348771262;Results_File_5_TOP_15.mat
15;30;30.461398315429687;4.5;4.57929960489273;5.418230401732103;5.063932407694056;751.997652269411;42.80796183394071;7.9;8.453501821805322;0.16826731180782495;0.03397544123658291;0.08892490484885233;0.21319616647405742;0.5361753053883764;0.024871490504851747;0.46907445664431724;0.573811492098529;7.690745227445553;0.2535492294412061;0.2589289367809547;0.09321441724114368;Results_File_5_TOP_16.mat
16;-30;-29.690998077392578;4.5;4.585025468372528;5.536499773262532;4.970564418568668;797.9793115835903;45.42549808693618;8.2;9.138901392614278;0.14056200406118977;0.03359063515497181;0.06098620685248794;0.18441647507221137;0.5150876912012354;0.044300809376164124;0.4231894365095535;0.5738114925604202;7.291552096857073;0.2442856229192838;0.2739342522060521;0.09861633079417875;Results_File_5_TOP_17.mat
17;0;0.3240000009536743;4.5;4.545159330633618;5.536499773262532;5.718149191832987;797.9877171355797;45.42597657852146;8.2;7.944174776587087;0.18578745521352583;0.03792958048573071;0.09856223986773056;0.2404164483446278;0.5264476050900565;0.053985951796347076;0.3865920493749995;0.567750671288919;9.0286607285317;0.32329386204111094;0.3552540587090687;0.12789146113526473;Results_File_5_TOP_18.mat
18;30;30.464998245239258;4.5;4.579844055973712;5.536499773262532;5.048877051894937;798.0027947072156;45.426834879221175;8.2;8.997413565888209;0.14789472653472047;0.025798364866131573;0.08515479731659893;0.18914008987972528;0.5466827537959419;0.019586326016900506;0.4875142706949824;0.5738114921254349;7.632976338126206;0.2520438383460289;0.2550990536482194;0.09183565931335899;Results_File_5_TOP_19.mat
19;-30;-28.74599838256836;5.0;5.047416953369975;5.757932521134195;5.3044311301581395;708.0291061398651;40.305023375386675;7;7.598368682031521;0.2597918872975578;0.06205013858441518;0.08211527491567125;0.29809916729738944;0.45575720132068887;0.09306948223709356;0.28555244806490493;0.573811491235048;7.3489350381323995;0.2782044836402994;0.3755732780265632;0.13520638008956276;Results_File_5_TOP_20.mat
20;0;1.125;5.0;5.017607981711627;5.757932521134195;5.67282334540036;708.00286106012;40.303529356929744;7;7.104668505076694;0.3139392078147936;0.07446917979510131;0.1239891473687121;0.3749651182458226;0.5450243989427574;0.04595641162275138;0.3865919763474077;0.5738114863209508;9.678240457325936;0.31818889171987136;0.31499400288206464;0.11339784103754327;Results_File_5_TOP_21.mat
