Datei;Variable;Mittelwert;Median;Standardabweichung;Minimalwert;Maximalwert;RMS;Anzahl_Werte
Results_File_5_TOP_1.mat;Data[0].Time;3.9998;3.9998;2.3094010738717516;0.0;7.9996;4.618628948075392;20000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Tower[0].FA;-4.148842768504134;-4.135772066731689;2.755823216702249;-8.21438559889795;-0.12442443447725618;4.980708576044595;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Tower[0].SS;1.4441067054104655;1.4343016599455216;1.6551441956158914;-0.9875984527170603;3.8666338151501254;2.196576082199851;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].RotorSpeed;709.0152663215664;708.9747580215276;0.5917962158508588;706.8271419151531;711.3428332724179;709.015513299817;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].PitotVelocity;3.994012601816727;3.993789385884038;0.014786582094169975;3.946613604022611;4.039708122611046;3.9940399730699796;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade1;0.3993149995803833;0.3993149995803833;0.0;0.3993149995803833;0.3993149995803833;0.3993149995803833;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade1Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade2;0.3991750180721283;0.3991750180721283;0.0;0.3991750180721283;0.3991750180721283;0.39917501807212835;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade2Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade3;0.39368000626564026;0.39368000626564026;0.0;0.39368000626564026;0.39368000626564026;0.3936800062656403;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade3Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Yaw;-28.799999237060547;-28.799999237060547;0.0;-28.799999237060547;-28.799999237060547;28.799999237060547;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].YawDem;-30.0;-30.0;0.0;-30.0;-30.0;30.0;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].PitotDirection;0.006195068359375;0.006195068359375;0.0;0.006195068359375;0.006195068359375;0.006195068359375;2000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Yawing;158.14465947341913;156.1890640258698;902.5613465612024;-1205.3599853515625;1484.224975585934;916.3114741322049;20000
